Dateiname;Ort;Kategorie/Signatur;Typ;Datum;Nummer;Format;Dateigröße
Drei Raben, Hotel_Tageskarte_27.08.1938_03.jpg;Drei Raben, Hotel;;Tageskarte;27.08.1938;3;JPG;9,059 MB
Eckel;Eckel;;;;;DIR;7,411 MB
Eckel, Weinrestaurant_F Mon 3503_Tageskarte_15.07.1919;Eckel, Weinrestaurant;F Mon 3503;Tageskarte;15.07.1919;;DIR;7,411 MB
Eckel, Weinrestaurant_F Mon 3503_Tageskarte_15.07.1919_01.jpg;Eckel, Weinrestaurant;;Tageskarte;15.07.1919;1;JPG;7,411 MB
Europäischer Hof;Europäischer Hof;;;;;DIR;31,312 MB
Europäischer Hof, Hotel_Speisen-Karte_27.08.1938;Europäischer Hof, Hotel;;Speisen-Karte;27.08.1938;;DIR;31,312 MB
Europäischer Hof, Hotel_Speisen-Karte_27.08.1938_01.jpg;Europäischer Hof, Hotel;;Speisen-Karte;27.08.1938;1;JPG;6,516 MB
Europäischer Hof, Hotel_Speisen-Karte_27.08.1938_02.jpg;Europäischer Hof, Hotel;;Speisen-Karte;27.08.1938;2;JPG;9,136 MB
Europäischer Hof, Hotel_Speisen-Karte_27.08.1938_03.jpg;Europäischer Hof, Hotel;;Speisen-Karte;27.08.1938;3;JPG;8,945 MB
Europäischer Hof, Hotel_Speisen-Karte_27.08.1938_04.jpg;Europäischer Hof, Hotel;;Speisen-Karte;27.08.1938;4;JPG;6,715 MB
Excelsior;Excelsior;;;;;DIR;85,556 MB
Excelsior, Hotel_Speisen-Karte_09.07.1938;Excelsior, Hotel;;Speisen-Karte;09.07.1938;;DIR;44,071 MB
Excelsior, Hotel_Speisen-Karte_09.07.1938_01.jpg;Excelsior, Hotel;;Speisen-Karte;09.07.1938;1;JPG;12,244 MB
Excelsior, Hotel_Speisen-Karte_09.07.1938_02.jpg;Excelsior, Hotel;;Speisen-Karte;09.07.1938;2;JPG;21,835 MB
Excelsior, Hotel_Speisen-Karte_09.07.1938_03.jpg;Excelsior, Hotel;;Speisen-Karte;09.07.1938;3;JPG;9,992 MB
Excelsior, Hotel_Weinkarte;Excelsior, Hotel;;Weinkarte;;;DIR;41,485 MB
Excelsior, Hotel_Weinkarte_01.jpg;Excelsior, Hotel;;Weinkarte;;1;JPG;11,084 MB
Excelsior, Hotel_Weinkarte_02.jpg;Excelsior, Hotel;;Weinkarte;;2;JPG;10,131 MB
Excelsior, Hotel_Weinkarte_03.jpg;Excelsior, Hotel;;Weinkarte;;3;JPG;10,347 MB
Excelsior, Hotel_Weinkarte_04.jpg;Excelsior, Hotel;;Weinkarte;;4;JPG;9,922 MB
Fahrig;Fahrig;;;;;DIR;30,320 MB
Fahrig, Gaststätte_Kriegs-Speisenkarte_08.02.1917;Fahrig, Gaststätte;;Kriegs-Speisenkarte;08.02.1917;;DIR;30,320 MB
Fahrig, Gaststätte_Kriegs-Speisenkarte_08.02.1917_01.jpg;Fahrig, Gaststätte;;Kriegs-Speisenkarte;08.02.1917;1;JPG;8,137 MB
Fahrig, Gaststätte_Kriegs-Speisenkarte_08.02.1917_02.jpg;Fahrig, Gaststätte;;Kriegs-Speisenkarte;08.02.1917;2;JPG;14,691 MB
Fahrig, Gaststätte_Kriegs-Speisenkarte_08.02.1917_03.jpg;Fahrig, Gaststätte;;Kriegs-Speisenkarte;08.02.1917;3;JPG;7,492 MB
Festwiese, Gasthaus zur_Speisen-Karte_09.07.1938;Festwiese, Gasthaus zur;;Speisen-Karte;09.07.1938;;DIR;12,797 MB
Festwiese, Gasthaus zur_Speisen-Karte_09.07.1938_01.jpg;Festwiese, Gasthaus zur;;Speisen-Karte;09.07.1938;1;JPG;12,797 MB
Festwiese, Gasthaus zur_Speisen-Karte_16.07.1939;Festwiese, Gasthaus zur;;Speisen-Karte;16.07.1939;;DIR;13,469 MB
Festwiese, Gasthaus zur_Speisen-Karte_16.07.1939_01.jpg;Festwiese, Gasthaus zur;;Speisen-Karte;16.07.1939;1;JPG;13,469 MB
Festwiese, Zur;Festwiese, Zur;;;;;DIR;26,266 MB
Fischer-Vroni;Fischer-Vroni;;;;;DIR;54,296 MB
Fischer-Vroni_Speisenkarte_Oktoberfest 1965;Fischer-Vroni;;Speisenkarte;Oktoberfest 1965;;DIR;54,296 MB
Fischer-Vroni_Speisenkarte_Oktoberfest 1965_01.jpg;Fischer-Vroni;;Speisenkarte;Oktoberfest 1965;1;JPG;14,391 MB
Fischer-Vroni_Speisenkarte_Oktoberfest 1965_02.jpg;Fischer-Vroni;;Speisenkarte;Oktoberfest 1965;2;JPG;27,493 MB
Fischer-Vroni_Speisenkarte_Oktoberfest 1965_03.jpg;Fischer-Vroni;;Speisenkarte;Oktoberfest 1965;3;JPG;12,411 MB
Frankfurter Hof;Frankfurter Hof;;;;;DIR;38,156 MB
Frankfurter Hof, Hotel und Gaststätte_Speisen-Karte_19.10.1938;Frankfurter Hof, Hotel und Gaststätte;;Speisen-Karte;19.10.1938;;DIR;38,156 MB
Frankfurter Hof, Hotel und Gaststätte_Speisen-Karte_19.10.1938_01.jpg;Frankfurter Hof, Hotel und Gaststätte;;Speisen-Karte;19.10.1938;1;JPG;8,733 MB
Frankfurter Hof, Hotel und Gaststätte_Speisen-Karte_19.10.1938_02.jpg;Frankfurter Hof, Hotel und Gaststätte;;Speisen-Karte;19.10.1938;2;JPG;20,859 MB
Frankfurter Hof, Hotel und Gaststätte_Speisen-Karte_19.10.1938_03.jpg;Frankfurter Hof, Hotel und Gaststätte;;Speisen-Karte;19.10.1938;3;JPG;8,564 MB
Fränkische Weinstube;Fränkische Weinstube;;;;;DIR;143,451 MB
Fränkische Weinstube_F Mon 3427_Speisenkarte_September 1916;Fränkische Weinstube;F Mon 3427;Speisenkarte;01.09.1916;;DIR;42,954 MB
Fränkische Weinstube_F Mon 3427_Speisenkarte_September 1916_01.jpg;Fränkische Weinstube;;Speisenkarte;01.09.1916;1;JPG;13,958 MB
Fränkische Weinstube_F Mon 3427_Speisenkarte_September 1916_02.jpg;Fränkische Weinstube;;Speisenkarte;01.09.1916;2;JPG;21,016 MB
Fränkische Weinstube_F Mon 3427_Speisenkarte_September 1916_03.jpg;Fränkische Weinstube;;Speisenkarte;01.09.1916;3;JPG;7,981 MB
Fränkische Weinstube_F Mon 3428_Speisenkarte_September 1916;Fränkische Weinstube;F Mon 3428;Speisenkarte;01.09.1916;;DIR;33,198 MB
Fränkische Weinstube_F Mon 3428_Speisenkarte_September 1916_01.jpg;Fränkische Weinstube;;Speisenkarte;01.09.1916;1;JPG;13,293 MB
Fränkische Weinstube_F Mon 3428_Speisenkarte_September 1916_02.jpg;Fränkische Weinstube;;Speisenkarte;01.09.1916;2;JPG;19,905 MB
Fränkische Weinstube_F Mon 3429_Speisenkarte_12.12.1916;Fränkische Weinstube;F Mon 3429;Speisenkarte;12.12.1916;;DIR;34,043 MB
Fränkische Weinstube_F Mon 3429_Speisenkarte_12.12.1916_01.jpg;Fränkische Weinstube;;Speisenkarte;12.12.1916;1;JPG;14,345 MB
Fränkische Weinstube_F Mon 3429_Speisenkarte_12.12.1916_02.jpg;Fränkische Weinstube;;Speisenkarte;12.12.1916;2;JPG;19,698 MB
Fränkische Weinstube_o. Sign_Speisenkarte_November 1916;Fränkische Weinstube;o. Sign;Speisenkarte;01.11.1916;;DIR;33,256 MB
Fränkische Weinstube_o. Sign_Speisenkarte_November 1916_01.jpg;Fränkische Weinstube;;Speisenkarte;01.11.1916;1;JPG;13,155 MB
Fränkische Weinstube_o. Sign_Speisenkarte_November 1916_02.jpg;Fränkische Weinstube;;Speisenkarte;01.11.1916;2;JPG;20,100 MB
Fränkischer Hof;Fränkischer Hof;;;;;DIR;78,371 MB
Fränkischer Hof, Hotel_Speisen-Karte_10.07.1938;Fränkischer Hof, Hotel;;Speisen-Karte;10.07.1938;;DIR;38,607 MB
Fränkischer Hof, Hotel_Speisen-Karte_10.07.1938_01.jpg;Fränkischer Hof, Hotel;;Speisen-Karte;10.07.1938;1;JPG;7,277 MB
Fränkischer Hof, Hotel_Speisen-Karte_10.07.1938_02.jpg;Fränkischer Hof, Hotel;;Speisen-Karte;10.07.1938;2;JPG;23,145 MB
Fränkischer Hof, Hotel_Speisen-Karte_10.07.1938_03.jpg;Fränkischer Hof, Hotel;;Speisen-Karte;10.07.1938;3;JPG;8,185 MB
Fränkischer Hof, Hotel_Speisen-Karte_16.07.1939;Fränkischer Hof, Hotel;;Speisen-Karte;16.07.1939;;DIR;39,764 MB
Fränkischer Hof, Hotel_Speisen-Karte_16.07.1939_01.jpg;Fränkischer Hof, Hotel;;Speisen-Karte;16.07.1939;1;JPG;9,206 MB
Fränkischer Hof, Hotel_Speisen-Karte_16.07.1939_02.jpg;Fränkischer Hof, Hotel;;Speisen-Karte;16.07.1939;2;JPG;23,062 MB
Fränkischer Hof, Hotel_Speisen-Karte_16.07.1939_03.jpg;Fränkischer Hof, Hotel;;Speisen-Karte;16.07.1939;3;JPG;7,497 MB
Franziskaner;Franziskaner;;;;;DIR;197,842 MB
Franziskaner, Gaststätte_F Mon 3396_Speisen-Karte_08.08.1914;Franziskaner, Gaststätte;F Mon 3396;Speisen-Karte;08.08.1914;;DIR;59,853 MB
Franziskaner, Gaststätte_F Mon 3396_Speisen-Karte_08.08.1914_01.jpg;Franziskaner, Gaststätte;;Speisen-Karte;08.08.1914;1;JPG;14,580 MB
Franziskaner, Gaststätte_F Mon 3396_Speisen-Karte_08.08.1914_02.jpg;Franziskaner, Gaststätte;;Speisen-Karte;08.08.1914;2;JPG;30,905 MB
Franziskaner, Gaststätte_F Mon 3396_Speisen-Karte_08.08.1914_03.jpg;Franziskaner, Gaststätte;;Speisen-Karte;08.08.1914;3;JPG;14,368 MB
Franziskaner, Gaststätte_F Mon 3483_Kriegs-Speisenkarte_12.04.1919;Franziskaner, Gaststätte;F Mon 3483;Kriegs-Speisenkarte;12.04.1919;;DIR;35,709 MB
Franziskaner, Gaststätte_F Mon 3483_Kriegs-Speisenkarte_12.04.1919_01.jpg;Franziskaner, Gaststätte;;Kriegs-Speisenkarte;12.04.1919;1;JPG;7,927 MB
Franziskaner, Gaststätte_F Mon 3483_Kriegs-Speisenkarte_12.04.1919_02.jpg;Franziskaner, Gaststätte;;Kriegs-Speisenkarte;12.04.1919;2;JPG;18,130 MB
Franziskaner, Gaststätte_F Mon 3483_Kriegs-Speisenkarte_12.04.1919_03.jpg;Franziskaner, Gaststätte;;Kriegs-Speisenkarte;12.04.1919;3;JPG;9,652 MB
Franziskaner, Gaststätte_F Mon 3487_Kriegs-Speisenkarte_06.05.1920;Franziskaner, Gaststätte;F Mon 3487;Kriegs-Speisenkarte;06.05.1920;;DIR;37,876 MB
Franziskaner, Gaststätte_F Mon 3487_Kriegs-Speisenkarte_06.05.1920_01.jpg;Franziskaner, Gaststätte;;Kriegs-Speisenkarte;06.05.1920;1;JPG;10,029 MB
Franziskaner, Gaststätte_F Mon 3487_Kriegs-Speisenkarte_06.05.1920_02.jpg;Franziskaner, Gaststätte;;Kriegs-Speisenkarte;06.05.1920;2;JPG;18,173 MB
Franziskaner, Gaststätte_F Mon 3487_Kriegs-Speisenkarte_06.05.1920_03.jpg;Franziskaner, Gaststätte;;Kriegs-Speisenkarte;06.05.1920;3;JPG;9,674 MB
Franziskaner, Gaststätte_Tageskarte_12.12.1975;Franziskaner, Gaststätte;;Tageskarte;12.12.1975;;DIR;33,325 MB
Franziskaner, Gaststätte_Tageskarte_12.12.1975_01.jpg;Franziskaner, Gaststätte;;Tageskarte;12.12.1975;1;JPG;15,033 MB
Franziskaner, Gaststätte_Tageskarte_12.12.1975_02.jpg;Franziskaner, Gaststätte;;Tageskarte;12.12.1975;2;JPG;18,292 MB
Franziskaner, Gaststätte_Tageskarte_25.02.1977;Franziskaner, Gaststätte;;Tageskarte;25.02.1977;;DIR;31,079 MB
Franziskaner, Gaststätte_Tageskarte_25.02.1977_01.jpg;Franziskaner, Gaststätte;;Tageskarte;25.02.1977;1;JPG;14,916 MB
Franziskaner, Gaststätte_Tageskarte_25.02.1977_02.jpg;Franziskaner, Gaststätte;;Tageskarte;25.02.1977;2;JPG;16,163 MB
Fraunhofer-Garten;Fraunhofer-Garten;;;;;DIR;35,382 MB
Fraunhofer-Garten, Gaststätte_F Mon 3498_Kriegs-Speisenkarte_04.09.1918;Fraunhofer-Garten, Gaststätte;F Mon 3498;Kriegs-Speisenkarte;04.09.1918;;DIR;35,382 MB
Fraunhofer-Garten, Gaststätte_F Mon 3498_Kriegs-Speisenkarte_04.09.1918_01.jpg;Fraunhofer-Garten, Gaststätte;;Kriegs-Speisenkarte;04.09.1918;1;JPG;9,545 MB
Fraunhofer-Garten, Gaststätte_F Mon 3498_Kriegs-Speisenkarte_04.09.1918_02.jpg;Fraunhofer-Garten, Gaststätte;;Kriegs-Speisenkarte;04.09.1918;2;JPG;16,868 MB
Fraunhofer-Garten, Gaststätte_F Mon 3498_Kriegs-Speisenkarte_04.09.1918_03.jpg;Fraunhofer-Garten, Gaststätte;;Kriegs-Speisenkarte;04.09.1918;3;JPG;8,969 MB
Friedensengel;Friedensengel;;;;;DIR;11,034 MB
Friedensengel, Restaurant_Fischkarte;Friedensengel, Restaurant;;Fischkarte;;;DIR;4,743 MB
Friedensengel, Restaurant_Fischkarte_01.jpg;Friedensengel, Restaurant;;;Fischkarte;1;JPG;4,743 MB
Friedensengel, Restaurant_Tageskarte_14.09.1975;Friedensengel, Restaurant;;Tageskarte;14.09.1975;;DIR;6,291 MB
Friedensengel, Restaurant_Tageskarte_14.09.1975_01.jpg;Friedensengel, Restaurant;;Tageskarte;14.09.1975;1;JPG;6,291 MB
Gassner;Gassner;;;;;DIR;44,518 MB
Gassner, Kaffee-Restaurant_Speisenkarte_01.01.1943;Gassner, Kaffee-Restaurant;;Speisenkarte;01.01.1943;;DIR;9,686 MB
Gassner, Kaffee-Restaurant_Speisenkarte_01.01.1943_01.jpg;Gassner, Kaffee-Restaurant;;Speisenkarte;01.01.1943;1;JPG;9,686 MB
Gassner, Kaffee-Restaurant_Speisen-Karte_27.08.1938;Gassner, Kaffee-Restaurant;;Speisen-Karte;27.08.1938;;DIR;34,832 MB
Gassner, Kaffee-Restaurant_Speisen-Karte_27.08.1938_01.jpg;Gassner, Kaffee-Restaurant;;Speisen-Karte;27.08.1938;1;JPG;10,943 MB
Gassner, Kaffee-Restaurant_Speisen-Karte_27.08.1938_02.jpg;Gassner, Kaffee-Restaurant;;Speisen-Karte;27.08.1938;2;JPG;23,889 MB
Gaststätten A-Z Speisekarten;Gaststätten A-Z Speisekarten;;;;;DIR;11,889 GB
Germania;Germania;;;;;DIR;54,078 MB
Germania, Hotel_Speisen-Karte_03.07.1942;Germania, Hotel;;Speisen-Karte;03.07.1942;;DIR;16,910 MB
Germania, Hotel_Speisen-Karte_03.07.1942_01.jpg;Germania, Hotel;;Speisen-Karte;03.07.1942;1;JPG;5,375 MB
Germania, Hotel_Speisen-Karte_03.07.1942_02.jpg;Germania, Hotel;;Speisen-Karte;03.07.1942;2;JPG;11,534 MB
Germania, Hotel_Speisen-Karte_16.07.1939;Germania, Hotel;;Speisen-Karte;16.07.1939;;DIR;37,169 MB
Germania, Hotel_Speisen-Karte_16.07.1939_01.jpg;Germania, Hotel;;Speisen-Karte;16.07.1939;1;JPG;10,257 MB
Germania, Hotel_Speisen-Karte_16.07.1939_02.jpg;Germania, Hotel;;Speisen-Karte;16.07.1939;2;JPG;12,287 MB
Germania, Hotel_Speisen-Karte_16.07.1939_03.jpg;Germania, Hotel;;Speisen-Karte;16.07.1939;3;JPG;10,101 MB
Germania, Hotel_Speisen-Karte_16.07.1939_04.jpg;Germania, Hotel;;Speisen-Karte;16.07.1939;4;JPG;4,524 MB
Goethe-Burg;Goethe-Burg;;;;;DIR;35,149 MB
Goethe-Burg, Gaststätte_Speise-Karte_26.08.1938;Goethe-Burg, Gaststätte;;Speise-Karte;26.08.1938;;DIR;13,372 MB
Goethe-Burg, Gaststätte_Speise-Karte_26.08.1938_01.jpg;Goethe-Burg, Gaststätte;;Speise-Karte;26.08.1938;1;JPG;13,372 MB
Goethe-Burg, Gaststätte_Speise-Karte_27.08.1938;Goethe-Burg, Gaststätte;;Speise-Karte;27.08.1938;;DIR;13,355 MB
Goethe-Burg, Gaststätte_Speise-Karte_27.08.1938_01.jpg;Goethe-Burg, Gaststätte;;Speise-Karte;27.08.1938;1;JPG;13,355 MB
Goethe-Burg, Gaststätte_Weinkarte_26-27.08.1938;Goethe-Burg, Gaststätte;;Weinkarte;26-27.08.1938;;DIR;8,422 MB
Goethe-Burg, Gaststätte_Weinkarte_26-27.08.1938_01.jpg;Goethe-Burg, Gaststätte;;Weinkarte;26-27.08.1938;1;JPG;4,243 MB
Goethe-Burg, Gaststätte_Weinkarte_26-27.08.1938_02.jpg;Goethe-Burg, Gaststätte;;Weinkarte;26-27.08.1938;2;JPG;4,178 MB
Goethehof;Goethehof;;;;;DIR;13,589 MB
Goethehof, Gaststätte_Speisekarte_26.08.1938;Goethehof, Gaststätte;;Speisekarte;26.08.1938;;DIR;13,589 MB
Goethehof, Gaststätte_Speisekarte_26.08.1938_01.jpg;Goethehof, Gaststätte;;Speisekarte;26.08.1938;1;JPG;13,589 MB
Goldenes Lamm;Goldenes Lamm;;;;;DIR;13,232 MB
Goldenes Lamm, Hotel und Gaststätte_Speisenkarte_16.07.1939;Goldenes Lamm, Hotel und Gaststätte;;Speisenkarte;16.07.1939;;DIR;13,232 MB
Goldenes Lamm, Hotel und Gaststätte_Speisenkarte_16.07.1939_01.jpg;Goldenes Lamm, Hotel und Gaststätte;;Speisenkarte;16.07.1939;1;JPG;13,232 MB
Grosser Rosengarten;Grosser Rosengarten;;;;;DIR;43,643 MB
Grosser Rosengarten, Hotel_Speisen-Karte_10.07.1938;Grosser Rosengarten, Hotel;;Speisen-Karte;10.07.1938;;DIR;34,191 MB
Grosser Rosengarten, Hotel_Speisen-Karte_10.07.1938_01.jpg;Grosser Rosengarten, Hotel;;Speisen-Karte;10.07.1938;1;JPG;11,322 MB
Grosser Rosengarten, Hotel_Speisen-Karte_10.07.1938_02.jpg;Grosser Rosengarten, Hotel;;Speisen-Karte;10.07.1938;2;JPG;18,659 MB
Grosser Rosengarten, Hotel_Speisen-Karte_10.07.1938_03.jpg;Grosser Rosengarten, Hotel;;Speisen-Karte;10.07.1938;3;JPG;4,210 MB
Grosser Rosengarten, Hotel_Speisen-Karte_30.01.1943;Grosser Rosengarten, Hotel;;Speisen-Karte;30.01.1943;;DIR;9,453 MB
Grosser Rosengarten, Hotel_Speisen-Karte_30.01.1943_01.jpg;Grosser Rosengarten, Hotel;;Speisen-Karte;30.01.1943;1;JPG;9,453 MB
Grüner Hof;Grüner Hof;;;;;DIR;51,817 MB
Grüner Hof, Hotel und Gaststätte_Speisen-Karte_09.03.1943;Grüner Hof, Hotel und Gaststätte;;Speisen-Karte;09.03.1943;;DIR;12,203 MB
Grüner Hof, Hotel und Gaststätte_Speisen-Karte_09.03.1943_01.jpg;Grüner Hof, Hotel und Gaststätte;;Speisen-Karte;09.03.1943;1;JPG;6,223 MB
Grüner Hof, Hotel und Gaststätte_Speisen-Karte_09.03.1943_02.jpg;Grüner Hof, Hotel und Gaststätte;;Speisen-Karte;09.03.1943;2;JPG;5,980 MB
Grüner Hof, Hotel und Gaststätte_Speisen-Karte_27.08.1938;Grüner Hof, Hotel und Gaststätte;;Speisen-Karte;27.08.1938;;DIR;39,613 MB
Grüner Hof, Hotel und Gaststätte_Speisen-Karte_27.08.1938_01.jpg;Grüner Hof, Hotel und Gaststätte;;Speisen-Karte;27.08.1938;1;JPG;11,714 MB
Grüner Hof, Hotel und Gaststätte_Speisen-Karte_27.08.1938_02.jpg;Grüner Hof, Hotel und Gaststätte;;Speisen-Karte;27.08.1938;2;JPG;19,725 MB
Grüner Hof, Hotel und Gaststätte_Speisen-Karte_27.08.1938_03.jpg;Grüner Hof, Hotel und Gaststätte;;Speisen-Karte;27.08.1938;3;JPG;8,175 MB
Hackerbräu;Hackerbräu;;;;;DIR;12,411 MB
Hackerbräu, Festhalle_Speisenkarte_Oktoberfest 1965;Hackerbräu, Festhalle;;Speisenkarte;Oktoberfest 1965;;DIR;12,411 MB
Hackerbräu, Festhalle_Speisenkarte_Oktoberfest 1965_01.jpg;Hackerbräu, Festhalle;;Speisenkarte;Oktoberfest 1965;1;JPG;12,411 MB
Hacker-Bräustübl;Hacker-Bräustübl;;;;;DIR;41,271 MB
Hacker-Bräustübl_Karte für Speisen_26.08.1938;Hacker-Bräustübl;;Karte für Speisen;26.08.1938;;DIR;41,271 MB
Hacker-Bräustübl_Karte für Speisen_26.08.1938_01.jpg;Hacker-Bräustübl;;Karte für Speisen;26.08.1938;1;JPG;10,880 MB
Hacker-Bräustübl_Karte für Speisen_26.08.1938_02.jpg;Hacker-Bräustübl;;Karte für Speisen;26.08.1938;2;JPG;22,661 MB
Hacker-Bräustübl_Karte für Speisen_26.08.1938_03.jpg;Hacker-Bräustübl;;Karte für Speisen;26.08.1938;3;JPG;7,729 MB
Hahn;Hahn;;;;;DIR;10,188 MB
Hahn, Gourmet-Restaurant_Tageskarte_1967;Hahn, Gourmet-Restaurant;;Tageskarte;20.05.1905;;DIR;10,188 MB
Hahn, Gourmet-Restaurant_Tageskarte_1967_01.jpg;Hahn, Gourmet-Restaurant;;Tageskarte;20.05.1905;1;JPG;3,092 MB
Hahn, Gourmet-Restaurant_Tageskarte_1967_02.jpg;Hahn, Gourmet-Restaurant;;Tageskarte;20.05.1905;2;JPG;7,096 MB
Hauptbahnhof Gaststätten München;Hauptbahnhof Gaststätten München;;;;;DIR;7,839 MB
Hauptbahnhof Gaststätten München, Nordbau III. Klasse_Speisenkarte_27.08.1938;Hauptbahnhof Gaststätten München, Nordbau III. Klasse;;Speisenkarte;27.08.1938;;DIR;7,839 MB
Hauptbahnhof Gaststätten München, Nordbau III. Klasse_Speisenkarte_27.08.1938_01.jpg;Hauptbahnhof Gaststätten München, Nordbau III. Klasse;;Speisenkarte;27.08.1938;1;JPG;7,839 MB
Helgoland;Helgoland;;;;;DIR;909,026 MB
Helgoland, Restaurant_F Mon 3430_Speisenkarte_06.05.1916;Helgoland, Restaurant;F Mon 3430;Speisenkarte;06.05.1916;;DIR;46,106 MB
Helgoland, Restaurant_F Mon 3430_Speisenkarte_06.05.1916_01.jpg;Helgoland, Restaurant;;Speisenkarte;06.05.1916;1;JPG;12,781 MB
Helgoland, Restaurant_F Mon 3430_Speisenkarte_06.05.1916_02.jpg;Helgoland, Restaurant;;Speisenkarte;06.05.1916;2;JPG;11,882 MB
Helgoland, Restaurant_F Mon 3430_Speisenkarte_06.05.1916_03.jpg;Helgoland, Restaurant;;Speisenkarte;06.05.1916;3;JPG;11,810 MB
Helgoland, Restaurant_F Mon 3430_Speisenkarte_06.05.1916_04.jpg;Helgoland, Restaurant;;Speisenkarte;06.05.1916;4;JPG;9,633 MB
Helgoland, Restaurant_F Mon 3431_Speisen-Karte_20.10.1916;Helgoland, Restaurant;F Mon 3431;Speisen-Karte;20.10.1916;;DIR;34,111 MB
Helgoland, Restaurant_F Mon 3431_Speisen-Karte_20.10.1916_01.jpg;Helgoland, Restaurant;;Speisen-Karte;20.10.1916;1;JPG;8,751 MB
Helgoland, Restaurant_F Mon 3431_Speisen-Karte_20.10.1916_02.jpg;Helgoland, Restaurant;;Speisen-Karte;20.10.1916;2;JPG;8,425 MB
Helgoland, Restaurant_F Mon 3431_Speisen-Karte_20.10.1916_03.jpg;Helgoland, Restaurant;;Speisen-Karte;20.10.1916;3;JPG;8,759 MB
Helgoland, Restaurant_F Mon 3431_Speisen-Karte_20.10.1916_04.jpg;Helgoland, Restaurant;;Speisen-Karte;20.10.1916;4;JPG;8,177 MB
Helgoland, Restaurant_F Mon 3506_Speisekarte_13.07.1922;Helgoland, Restaurant;F Mon 3506;Speisekarte;13.07.1922;;DIR;46,221 MB
Helgoland, Restaurant_F Mon 3506_Speisekarte_13.07.1922_01.jpg;Helgoland, Restaurant;;Speisekarte;13.07.1922;1;JPG;14,914 MB
Helgoland, Restaurant_F Mon 3506_Speisekarte_13.07.1922_02.jpg;Helgoland, Restaurant;;Speisekarte;13.07.1922;2;JPG;19,941 MB
Helgoland, Restaurant_F Mon 3506_Speisekarte_13.07.1922_03.jpg;Helgoland, Restaurant;;Speisekarte;13.07.1922;3;JPG;11,367 MB
Helgoland, Restaurant_F Mon 3507_Speisekarte_27.07.1922;Helgoland, Restaurant;F Mon 3507;Speisekarte;27.07.1922;;DIR;40,124 MB
Helgoland, Restaurant_F Mon 3507_Speisekarte_27.07.1922_01.jpg;Helgoland, Restaurant;;Speisekarte;27.07.1922;1;JPG;10,969 MB
Helgoland, Restaurant_F Mon 3507_Speisekarte_27.07.1922_02.jpg;Helgoland, Restaurant;;Speisekarte;27.07.1922;2;JPG;17,283 MB
Helgoland, Restaurant_F Mon 3507_Speisekarte_27.07.1922_03.jpg;Helgoland, Restaurant;;Speisekarte;27.07.1922;3;JPG;11,872 MB
Helgoland, Restaurant_F Mon 3509_Speisekarte_15.05.1922;Helgoland, Restaurant;F Mon 3509;Speisekarte;15.05.1922;;DIR;47,106 MB
Helgoland, Restaurant_F Mon 3509_Speisekarte_15.05.1922_01.jpg;Helgoland, Restaurant;;Speisekarte;15.05.1922;1;JPG;14,836 MB
Helgoland, Restaurant_F Mon 3509_Speisekarte_15.05.1922_02.jpg;Helgoland, Restaurant;;Speisekarte;15.05.1922;2;JPG;20,330 MB
Helgoland, Restaurant_F Mon 3509_Speisekarte_15.05.1922_03.jpg;Helgoland, Restaurant;;Speisekarte;15.05.1922;3;JPG;11,940 MB
Helgoland, Restaurant_F Mon 3510_Speisekarte_14.06.1922;Helgoland, Restaurant;F Mon 3510;Speisekarte;14.06.1922;;DIR;45,996 MB
Helgoland, Restaurant_F Mon 3510_Speisekarte_14.06.1922_01.jpg;Helgoland, Restaurant;;Speisekarte;14.06.1922;1;JPG;15,292 MB
Helgoland, Restaurant_F Mon 3510_Speisekarte_14.06.1922_02.jpg;Helgoland, Restaurant;;Speisekarte;14.06.1922;2;JPG;20,904 MB
Helgoland, Restaurant_F Mon 3510_Speisekarte_14.06.1922_03.jpg;Helgoland, Restaurant;;Speisekarte;14.06.1922;3;JPG;9,799 MB
Helgoland, Restaurant_F Mon 3511_Speisekarte_28.07.1922;Helgoland, Restaurant;F Mon 3511;Speisekarte;28.07.1922;;DIR;45,288 MB
Helgoland, Restaurant_F Mon 3511_Speisekarte_28.07.1922_01.jpg;Helgoland, Restaurant;;Speisekarte;28.07.1922;1;JPG;15,167 MB
Helgoland, Restaurant_F Mon 3511_Speisekarte_28.07.1922_02.jpg;Helgoland, Restaurant;;Speisekarte;28.07.1922;2;JPG;19,208 MB
Helgoland, Restaurant_F Mon 3511_Speisekarte_28.07.1922_03.jpg;Helgoland, Restaurant;;Speisekarte;28.07.1922;3;JPG;10,913 MB
Helgoland, Restaurant_F Mon 3513_Speisekarte_21.06.1922;Helgoland, Restaurant;F Mon 3513;Speisekarte;21.06.1922;;DIR;44,612 MB
Helgoland, Restaurant_F Mon 3513_Speisekarte_21.06.1922_01.jpg;Helgoland, Restaurant;;Speisekarte;21.06.1922;1;JPG;12,506 MB
Helgoland, Restaurant_F Mon 3513_Speisekarte_21.06.1922_02.jpg;Helgoland, Restaurant;;Speisekarte;21.06.1922;2;JPG;20,551 MB
Helgoland, Restaurant_F Mon 3513_Speisekarte_21.06.1922_03.jpg;Helgoland, Restaurant;;Speisekarte;21.06.1922;3;JPG;11,555 MB
